date,device,users_count
2025-09-12,iPhone,2
2025-09-14,K,1
2025-09-12,Mac,16
2025-09-12,Samsung SM-S921B,1
2025-09-11,iPad,2
2025-09-13,Samsung SM-G991B,1
2025-09-10,Samsung SM-G991B,2
2025-09-10,Mac,21
2025-09-12,Samsung SM-G991B,4
2025-09-16,Other,3624
2025-09-15,Other,3588
2025-09-15,Samsung SM-G991B,3
2025-09-18,Samsung SM-S931B,1
2025-09-15,Mac,25
2025-09-15,iPhone,2
2025-09-17,Samsung SM-S921B,1
2025-09-18,iPhone,4
2025-09-17,Samsung SM-G991B,1
2025-09-11,iPhone,1
2025-09-12,K,1
2025-09-16,Samsung SM-S921B,2
2025-09-17,iPhone,1
2025-09-12,iPad,1
2025-09-17,iPad,2
2025-09-16,Samsung SM-G991B,1
2025-09-17,Mac,23
2025-09-13,Other,82
2025-09-12,Other,2079
2025-09-18,K,1
2025-09-18,Other,3431
2025-09-18,Samsung SM-G991B,2
2025-09-10,K,2
2025-09-16,iPad,2
2025-09-11,Mac,15
2025-09-14,Other,129
2025-09-17,Other,3031
2025-09-17,K,2
2025-09-10,Other,2906
2025-09-11,Other,3358
2025-09-11,K,2
2025-09-11,Samsung SM-G991B,3
2025-09-16,K,2
2025-09-16,iPhone,2
2025-09-14,iPhone,2
2025-09-14,Mac,2
2025-09-16,Mac,20
2025-09-10,iPhone,2
2025-09-15,K,1
2025-09-18,Mac,21
2025-09-10,iPad,2
2025-09-13,Mac,1
