date,os,users_count
2025-09-18,Android 15,3
2025-09-14,Windows 8.1,1
2025-09-12,iOS 18.6.2,3
2025-09-15,iOS 18.6.2,2
2025-09-15,Linux,1
2025-09-15,Android 15,3
2025-09-12,Windows 10/11,2056
2025-09-17,Mac OS X 10.13,1
2025-09-16,Mac OS X 10.15.7,19
2025-09-16,Windows 8.1,4
2025-09-11,Windows 8.1,1
2025-09-12,Android 15,5
2025-09-17,Windows 8.1,2
2025-09-11,iOS 26.0.0,1
2025-09-10,Windows 8.1,3
2025-09-18,Mac OS X 10.15.7,21
2025-09-18,Chrome OS 14541.0.0,39
2025-09-14,Android 10,1
2025-09-15,Mac OS X 10.15,1
2025-09-11,Windows 10/11,3324
2025-09-15,Windows 8.1,4
2025-09-17,iOS 18.6.2,2
2025-09-11,Android 15,3
2025-09-13,Chrome OS 14541.0.0,1
2025-09-17,Mac OS X 10.15.7,18
2025-09-13,Windows 10/11,81
2025-09-17,Chrome OS 14541.0.0,29
2025-09-17,iOS 18.6,1
2025-09-11,Chrome OS 14541.0.0,32
2025-09-17,Android 15,2
2025-09-15,Chrome OS 14541.0.0,33
2025-09-15,Android 10,1
2025-09-18,Windows 10/11,3387
2025-09-11,Mac OS X 10.15.7,14
2025-09-18,iOS 26.0.0,1
2025-09-12,Mac OS X 10.15.7,15
2025-09-10,Chrome OS 14541.0.0,32
2025-09-10,Mac OS X 10.15.7,21
2025-09-10,Android 10,2
2025-09-12,Chrome OS 14541.0.0,19
2025-09-16,Android 10,2
2025-09-14,Windows 10/11,127
2025-09-11,Mac OS X 10.13,1
2025-09-10,Windows 10/11,2871
2025-09-16,Windows 10/11,3577
2025-09-11,Linux,1
2025-09-15,Windows 10/11,3550
2025-09-18,Windows 8.1,5
2025-09-14,Mac OS X 10.15,1
2025-09-17,Android 10,2
2025-09-17,Windows 10/11,3000
2025-09-16,Android 15,3
2025-09-14,iOS 18.6.2,2
2025-09-12,Android 10,1
2025-09-16,Mac OS X 10.15,1
2025-09-18,Android 10,1
2025-09-12,Windows 8.1,4
2025-09-12,Mac OS X 10.13,1
2025-09-14,Chrome OS 14541.0.0,1
2025-09-15,Mac OS X 10.15.7,24
2025-09-18,iOS 18.6.2,2
2025-09-16,iOS 18.6.2,4
2025-09-10,iOS 18.6.2,4
2025-09-18,iOS 18.6,1
2025-09-11,iOS 18.6.2,2
2025-09-13,Mac OS X 10.15.7,1
2025-09-13,Android 15,1
2025-09-17,Mac OS X 10.15,4
2025-09-11,Android 10,2
2025-09-10,Android 15,2
2025-09-14,Mac OS X 10.15.7,1
2025-09-16,Chrome OS 14541.0.0,43
