sort_combination,total_uses,unique_users,days_used
ingangsDatum DESC,58917,4500,9
documentDateModified DESC,6160,310,8
documentOmschrijving ASC,5016,246,8
ingangsDatum ASC,2621,367,9
documentOmschrijving DESC,1789,83,7
documentDateModified ASC,418,86,8
documentAnnotated ASC,317,41,7
afdeling ASC,305,18,7
jobDateSubmitted DESC,193,55,8
documentDispositionDate ASC,162,33,7
documentAnnotated DESC,134,25,7
documentSize ASC,132,1,5
documentDispositionDate DESC,124,21,7
geldigheidsdatum ASC,90,22,7
afdeling DESC,80,5,8
vervallen ASC,65,4,6
bijzonder ASC,45,5,5
dienstverbandNummer ASC,44,19,7
medewerkerNaam ASC,37,12,7
geldigheidsdatum DESC,36,13,7
medewerkerNaam DESC,22,2,4
dienstverbandNummer DESC,19,7,4
vertrouwelijk ASC,16,4,4
importDate DESC,12,4,5
vrij1 ASC,11,2,3
vertrouwelijk DESC,8,2,2
medewerkerGeboortedatum ASC,8,3,3
vervallen DESC,6,2,2
vrij3 ASC,6,1,3
documentDateDeleted DESC,4,2,3
medewerkerCode ASC,4,2,1
vrij3 DESC,4,1,3
documentDateDeleted ASC,3,2,2
vrij1 DESC,3,1,1
medewerkerCode DESC,2,1,1
medewerkerGeboortedatum DESC,1,1,1
importDate ASC,1,1,1
datumUitDienst ASC,1,1,1
